Type,Description,Case#,Location#,LocationName,Agency,DateMonth2015,DateDay,Hour,Minute,AMPM,Thour,long,lat,spec
GRAFFITI,PRIVATE PROPERTY,Eau Claire PD 0115018100,400,BLOCK GALLOWAY ST,Eau Claire Police,9,4,9,36,AM,9,44.814586,-91.50141,
DRUG,POSSESS DRUG PARAPHERNALIA,Eau Claire PD 0115018103,1800,BLOCK PIEDMONT RD,Eau Claire Police,9,4,7,0,AM,7,44.846679,-91.483722,
DISTURBANCE,,Eau Claire PD 0115018083,900,BLOCK MAIN ST,Eau Claire Police,9,4,1,39,AM,1,44.812453,-91.490826,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115018082,400,BLOCK HUDSON ST,Eau Claire Police,9,4,1,20,AM,1,44.806053,-91.507758,
DRUG,MULTIPLE TYPES POSSESSION,Eau Claire PD 0115018081,600,BLOCK N HASTINGS WAY,Eau Claire Police,9,4,12,52,AM,0,44.821347,-91.475493,
DISTURBANCE,ALL OTHER,Eau Claire PD 0115018080,1900,BLOCK 3RD ST,Eau Claire Police,9,4,12,45,AM,0,44.818379,-91.513427,
DISTURBANCE,NEIGHBOR TROUBLE,Eau Claire PD 0115018079,1800,BLOCK BABCOCK ST,Eau Claire Police,9,4,12,3,AM,0,44.817264,-91.512483,
BURGLARY,FORCED RESIDENTIAL,Eau Claire PD 0115018756,2500,BLOCK MAY ST,Eau Claire Police,9,4,12,1,AM,0,44.812512,-91.473004,
DRUG,POSSESS DRUG PARAPHERNALIA,Eau Claire CSO 0215005791,2600,BLOCK SKEELS AV,Eau Claire County Sheriff,9,3,9,39,PM,21,44.789223,-91.464524,
DISTURBANCE,,Eau Claire PD 0115018072,3200,BLOCK OAK KNOLL DR,Eau Claire Police,9,3,9,30,PM,21,44.767511,-91.456066,
DISTURBANCE,,Eau Claire CSO 0215005781,2000,BLOCK SILVER MINE DR,Eau Claire County Sheriff,9,3,5,55,PM,17,44.781861,-91.56825,
THEFT,FROM AUTO CAR ENTRY,Eau Claire PD 0115018097,500,BLOCK FERRY ST,Eau Claire Police,9,3,5,0,PM,17,44.794716,-91.537288,
DISTURBANCE,,Eau Claire PD 0115018046,2300,BLOCK 15TH ST,Eau Claire Police,9,3,4,17,PM,16,44.822457,-91.529918,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018034,900,BLOCK PAMELA PL,Eau Claire Police,9,3,2,34,PM,14,44.784705,-91.487124,
THEFT,FROM AUTO CAR ENTRY,Eau Claire PD 0115018042,3000,BLOCK E HAMILTON AV,Eau Claire Police,9,3,2,15,PM,14,44.78598,-91.459773,
FRAUD,ALL OTHER,Eau Claire PD 0115018116,3900,BLOCK GATEWAY DR,Eau Claire Police,9,3,1,32,PM,13,44.776035,-91.431782,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018054,1800,BLOCK OXFORD AV,Eau Claire Police,9,3,1,30,PM,13,44.815534,-91.509341,
DRUG,MARIJUANA POSSESSION,Eau Claire PD 0115018022,3200,BLOCK WELLINGTON DR-E,Eau Claire Police,9,3,12,52,PM,12,44.851969,-91.490885,
DISTURBANCE,,Eau Claire PD 0115018020,3700,BLOCK GATEWAY DR,Eau Claire Police,9,3,12,23,PM,12,44.778243,-91.431611,
BURGLARY,UNLAWFUL RESIDENTIAL,Eau Claire PD 0115018051,1800,BLOCK RIST AV,Eau Claire Police,9,3,12,0,PM,12,44.79733,-91.475921,
VEHICLE,STOLEN LOCALLY,Eau Claire PD 0115018075,200,BLOCK S BARSTOW ST,Eau Claire Police,9,3,10,0,AM,10,44.811564,-91.500083,
ANIMAL,BARKING DOG,Eau Claire PD 0115018007,1700,BLOCK OMAHA ST,Eau Claire Police,9,3,9,32,AM,9,44.821934,-91.485219,
DISTURBANCE,,Eau Claire PD 0115018696,2900,BLOCK MALL DR,Eau Claire Police,9,3,9,30,AM,9,44.79003,-91.461525,
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115017993,600,BLOCK WISCONSIN ST,Eau Claire Police,9,2,10,30,PM,22,44.815869,-91.498433,
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115018039,2000,BLOCK 3RD ST,Eau Claire Police,9,2,8,30,PM,20,44.819229,-91.513576,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115017985,2200,BLOCK KEITH ST,Eau Claire Police,9,2,8,3,PM,20,44.796473,-91.473376,near memorial hs
DISTURBANCE,,Eau Claire CSO 0215005749,E4100 ,BLOCK WOODLAND DR,Eau Claire County Sheriff,9,2,6,53,PM,18,,,
DISTURBANCE,,Eau Claire PD 0115017964,2300,BLOCK SESSIONS ST,Eau Claire Police,9,2,3,37,PM,15,44.779272,-91.468208,
BURGLARY,UNLAWFUL RESIDENTIAL,Eau Claire PD 0115017978,2300,BLOCK 11TH ST,Eau Claire Police,9,2,3,30,PM,15,44.822089,-91.524508,
DISTURBANCE,,Eau Claire PD 0115017962,900,BLOCK W CLAIREMONT AV,Eau Claire Police,9,2,2,55,PM,14,44.794492,-91.510943,sacred heart hospital
DISTURBANCE,ALL OTHER,Eau Claire PD 0115017954,600,BLOCK NEWTON ST,Eau Claire Police,9,2,12,46,PM,12,44.807107,-91.491287,
DISTURBANCE,,Eau Claire PD 0115017946,3900,BLOCK FLYNN PL,Eau Claire Police,9,2,11,50,AM,11,44.837315,-91.584187,
COUNTERFEIT,CURRENCY,Eau Claire PD 0115017943,1500,BLOCK BELLINGER ST,Eau Claire Police,9,2,11,27,AM,11,44.814687,-91.511357,
THEFT,GAS SKIP,Eau Claire PD 0115017958,2800,BLOCK GOLF RD,Eau Claire Police,9,2,10,24,AM,10,44.771124,-91.4628,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115017973,5100,BLOCK FAIRVIEW DR,Eau Claire Police,9,2,9,0,AM,9,44.764355,-91.463331,
DISTURBANCE,,Eau Claire PD 0115017931,600,BLOCK FRANKLIN ST,Eau Claire Police,9,2,7,9,AM,7,44.820464,-91.495499,
ANIMAL,BARKING DOG,Eau Claire PD 0115017935,3900,BLOCK STERLING DR,Eau Claire Police,9,2,7,0,AM,7,44.775796,-91.466946,
FRAUD,CREDIT CARD,Eau Claire PD 0115017941,3100,BLOCK LOCUST LA,Eau Claire Police,9,2,3,53,AM,3,44.851239,-91.46642,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018434,100,BLOCK GRAHAM AV,Eau Claire Police,9,2,2,12,AM,2,44.811846,-91.501438,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115017927,400,BLOCK WATER ST,Eau Claire Police,9,2,1,25,AM,1,44.802176,-91.507683,water street
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115017926,1500,BLOCK 11TH ST,Eau Claire Police,9,2,1,22,AM,1,44.814429,-91.524038,
DRUG,MULTIPLE TYPES POSSESSION,Eau Claire PD 0115017924,2300,BLOCK CRAIG RD,Eau Claire Police,9,2,12,44,AM,0,44.794943,-91.519057,
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115017923,900,BLOCK S FARWELL ST,Eau Claire Police,9,1,11,57,PM,23,44.806852,-91.494118,
THEFT,EMBEZZLEMENT,Eau Claire PD 0115018459,0,BLOCK W MADISON ST,Eau Claire Police,9,1,9,19,PM,21,44.815766,-91.507566,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115017914,500,BLOCK E FILLMORE AV,Eau Claire Police,9,1,9,7,PM,21,44.787114,-91.49105,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115017918,1400,BLOCK MAPPA ST,Eau Claire Police,9,1,9,0,PM,21,44.81403,-91.510258,
CRIMINAL DAMAGE,,Eau Claire CSO 0215005725,3700,BLOCK TOWER DR,Eau Claire County Sheriff,9,1,7,59,PM,19,44.828849,-91.561399,
TRAFFIC,OMV WHILE INTOXICATED,Eau Claire PD 0115017908,2500,BLOCK W FOLSOM ST,Eau Claire Police,9,1,7,30,PM,19,44.828711,-91.544344,
DISTURBANCE,,Eau Claire PD 0115017905,1300,BLOCK HAWTHORNE ST,Eau Claire Police,9,1,7,13,PM,19,44.820091,-91.527157,
THEFT,RETAIL,Eau Claire PD 0115017886,3700,BLOCK GATEWAY DR,Eau Claire Police,9,1,3,0,PM,15,44.778251,-91.431611,
FRAUD,ALL OTHER,Eau Claire PD 0115017876,1100,BLOCK MERIDIAN HGHTS DR,Eau Claire Police,9,1,1,31,PM,13,44.810201,-91.538306,
DRUG,MARIJUANA MANUFACTURING,Eau Claire PD 0115017867,3900,BLOCK FLYNN PL,Eau Claire Police,9,1,12,13,PM,12,44.837315,-91.584134,
FORGED,OTHER DOCUMENT,Eau Claire PD 0115009267,600,BLOCK BROADWAY ST,Eau Claire Police,9,1,12,0,PM,12,44.805069,-91.511878,
VEHICLE,STOLEN LOCALLY,Eau Claire PD 0115017891,2100,BLOCK DEBLENE LA,Eau Claire Police,9,1,10,30,AM,10,44.81748,-91.551008,
FRAUD,,Eau Claire CSO 0215005711,S5000 ,BLOCK HWY 37,Eau Claire County Sheriff,9,1,9,24,AM,9,,,
DISTURBANCE,,Eau Claire PD 0115017844,600,BLOCK TALMADGE ST,Eau Claire Police,9,1,5,30,AM,5,44.811112,-91.491959,
DISTURBANCE,,Eau Claire PD 0115017840,2000,BLOCK 8TH ST,Eau Claire Police,9,1,3,20,AM,3,44.819017,-91.520929,
DRUG,METH POSSESSION,Eau Claire PD 0115017839,900,BLOCK CAMERON TR,Eau Claire Police,9,1,2,20,AM,2,44.816291,-91.522014,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115017838,1100,BLOCK MERIDIAN HEIGHTS DR,Eau Claire Police,9,1,2,11,AM,2,44.810156,-91.538295,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115017832,4500,BLOCK SPEROS LA,Eau Claire Police,8,31,11,33,PM,23,44.770115,-91.465572,
DISTURBANCE,,Eau Claire PD 0115017826,3200,BLOCK RUNWAY AV,Eau Claire Police,8,31,10,42,PM,22,44.871238,-91.463672,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115017828,1700,BLOCK FAIRWAY ST,Eau Claire Police,8,31,7,56,PM,19,44.813585,-91.476964,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115017814,700,BLOCK DODGE ST,Eau Claire Police,8,31,7,6,PM,19,44.809883,-91.492322,
THEFT,OMVWOC,Eau Claire CSO 0215005691,4300,BLOCK TOWER DR,Eau Claire County Sheriff,8,31,6,20,PM,18,44.828921,-91.441917,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115017809,600,BLOCK E CLAIREMONT AV,Eau Claire Police,8,31,6,10,PM,18,44.793223,-91.490144,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115017812,400,BLOCK MARSTON AV,Eau Claire Police,8,31,6,7,PM,18,44.805353,-91.492676,
DISTURBANCE,,Eau Claire PD 0115017804,3100,BLOCK BLAKELEY AV,Eau Claire Police,8,31,4,30,PM,16,44.787457,-91.465753,
THEFT,FROM AUTO EXTERNAL PARTS,Eau Claire PD 0115017796,100,BLOCK BROADWAY ST,Eau Claire Police,8,31,3,17,PM,15,44.805046,-91.501118,
FRAUD,CREDIT CARD,Eau Claire PD 0115017793,1600,BLOCK RAEDEL RD,Eau Claire Police,8,31,2,45,PM,14,44.815192,-91.531864,
DISTURBANCE,,Eau Claire PD 0115017782,1700,BLOCK BELLINGER ST,Eau Claire Police,8,31,12,48,PM,12,44.81643,-91.5114,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115017781,500,BLOCK MAPLE ST,Eau Claire Police,8,31,12,24,PM,12,44.820151,-91.516257,
BURGLARY,ATTEMPTED,Eau Claire CSO 0215005715,S5500 ,BLOCK WILLIAM DR,Eau Claire County Sheriff,8,31,12,0,PM,12,,,
FRAUD,COMPUTER CRIME,Eau Claire PD 0115018432,1100,BLOCK REGIS CT,Eau Claire Police,8,31,12,0,PM,12,44.806202,-91.472711,
THEFT,RETAIL,Eau Claire PD 0115017778,3900,BLOCK GATEWAY DR,Eau Claire Police,8,31,11,50,AM,11,44.776065,-91.431793,
THEFT,RETAIL,Eau Claire PD 0115017784,3900,BLOCK GATEWAY DR,Eau Claire Police,8,31,11,50,AM,11,44.776065,-91.431793,
FRAUD,,Eau Claire CSO 0215005675,S4700 ,BLOCK CTH B,Eau Claire County Sheriff,8,31,10,41,AM,10,,,
BURGLARY,UNLAWFUL ENTRY,Eau Claire CSO 0215005671,3100,BLOCK BLAKELEY AV,Eau Claire County Sheriff,8,31,9,47,AM,9,44.787449,-91.465753,
DISTURBANCE,ALL OTHER,Eau Claire PD 0115017759,2300,BLOCK CRAIG RD,Eau Claire Police,8,31,7,9,AM,7,44.79492,-91.519046,
DISTURBANCE,,Eau Claire PD 0115017755,4700,BLOCK KAPPUS DR,Eau Claire Police,8,31,2,8,AM,2,44.769114,-91.465027,
CRIMINAL DAMAGE,,Eau Claire CSO 0215005663,W2500 ,BLOCK JOPKE RD,Eau Claire County Sheriff,8,31,2,4,AM,2,,,
ORD COMPLAINT,UNDERAGE DRINKING,Eau Claire PD 0115017752,300,BLOCK 4TH AV,Eau Claire Police,8,31,1,58,AM,1,44.803129,-91.507723,near water street
ORD COMPLAINT,UNDERAGE DRINKING,Eau Claire PD 0115017750,400,BLOCK WATER ST,Eau Claire Police,8,31,1,1,AM,1,44.802161,-91.507715,water street
CRIM DAMAGE,RELIGIOUS PROPERTY,Eau Claire PD 0115017749,300,BLOCK LAKE ST,Eau Claire Police,8,31,12,13,AM,0,44.806981,-91.505644,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115017751,400,BLOCK BROADWAY ST,Eau Claire Police,8,31,12,1,AM,0,44.805089,-91.507753,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115017745,200,BLOCK HUDSON ST,Eau Claire Police,8,30,11,30,PM,23,44.806046,-91.503464,
THEFT,FROM AUTO CAR ENTRY,Eau Claire PD 0115017764,400,BLOCK ROOSEVELT AV,Eau Claire Police,8,30,10,30,PM,22,44.796639,-91.493251,
CRIM DAMAGE,PRIVATE PROPERTY,Eau Claire PD 0115017737,500,BLOCK N DEWEY ST,Eau Claire Police,8,30,9,17,PM,21,44.818231,-91.499275,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115017742,800,BLOCK NIAGARA ST,Eau Claire Police,8,30,9,0,PM,21,44.804108,-91.515951,
DISTURBANCE,,Eau Claire PD 0115017738,300,BLOCK WALNUT ST,Eau Claire Police,8,30,9,0,PM,21,44.821452,-91.513895,
OMVWI,,Eau Claire CSO 0215005658,9100,BLOCK HWY 53 FRWY,Eau Claire County Sheriff,8,30,8,7,PM,20,,,
SEX OFFENSE,EXPOSURE,Eau Claire PD 0115017729,300,BLOCK LAKE ST,Eau Claire Police,8,30,5,25,PM,17,44.806988,-91.505698,
DISTURBANCE,,Eau Claire PD 0115017710,1300,BLOCK WOODLAND AV,Eau Claire Police,8,30,4,28,PM,16,44.811727,-91.483593,
DISTURBANCE,,Eau Claire PD 0115017701,1700,BLOCK SHERWOOD BLVD,Eau Claire Police,8,30,2,59,PM,14,44.816763,-91.559946,
THEFT,EMBEZZLEMENT,Eau Claire PD 0115017691,600,BLOCK WISCONSIN ST,Eau Claire Police,8,30,1,20,PM,13,44.815876,-91.498454,
SEX OFFENSE,INCEST W/JUV,Eau Claire PD 0115017684,5600,BLOCK CHRISTOPHER DR,Eau Claire Police,8,30,10,36,AM,10,44.838601,-91.585718,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115017815,200,BLOCK W MADISON ST,Eau Claire Police,8,30,10,0,AM,10,44.815605,-91.510306,
DISTURBANCE,,Eau Claire PD 0115017681,3300,BLOCK GERRARD AV,Eau Claire Police,8,30,9,46,AM,9,44.785629,-91.51003,
ANIMAL,BARKING DOG,Eau Claire PD 0115017675,800,BLOCK AGNES ST,Eau Claire Police,8,30,8,5,AM,8,44.809099,-91.476003,
ANIMAL,BARKING DOG,Eau Claire PD 0115017674,3200,BLOCK SOUTH POINTE CT,Eau Claire Police,8,30,6,50,AM,6,44.771386,-91.455696,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115017673,2900,BLOCK HEMLOCK LA,Eau Claire Police,8,30,4,24,AM,4,44.847204,-91.469229,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115017667,200,BLOCK 5TH AV,Eau Claire Police,8,30,2,55,AM,2,44.802195,-91.509771,water street
DISTURBANCE,FIGHTING,Eau Claire PD 0115017663,4300,BLOCK FAIRFAX PARK DR,Eau Claire Police,8,30,1,42,AM,1,44.773584,-91.471814,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115017685,100,BLOCK W MADISON ST,Eau Claire Police,8,30,1,0,AM,1,44.815658,-91.509354,
ORD COMPLAINT,DISORDERLY CONDUCT,Eau Claire CSO 0215005647,3400,BLOCK W CAMERON ST,Eau Claire County Sheriff,8,30,12,59,AM,0,44.814287,-91.556407,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115017662,200,BLOCK WASHINGTON ST,Eau Claire Police,8,30,12,58,AM,0,44.803767,-91.493807,
DISTURBANCE,,Eau Claire PD 0115017661,1200,BLOCK 5TH AV,Eau Claire Police,8,30,12,36,AM,0,44.811519,-91.510118,near evengelical luthern church
ORD COMPLAINT,UNDERAGE DRINKING,Eau Claire PD 0115017660,300,BLOCK MARSTON CT,Eau Claire Police,8,30,12,34,AM,0,44.803588,-91.491773,
ORD COMPLAINT,UNDERAGE DRINKING,Eau Claire PD 0115018800,500,BLOCK S DEWEY ST,Eau Claire Police,9,12,11,52,PM,23,44.810388,-91.495864,
DISTURBANCE,,Eau Claire PD 0115018799,2400,BLOCK 4TH ST,Eau Claire Police,9,12,11,0,PM,23,44.823549,-91.515526,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018797,300,BLOCK 6TH AV,Eau Claire Police,9,12,10,50,PM,22,44.803142,-91.511806,near water street
THEFT,OTHER,Eau Claire CSO 0215006059,4900,BLOCK OLSON DR,Eau Claire County Sheriff,9,12,8,0,PM,20,44.83813,-91.428862,
DISTURBANCE,,Eau Claire CSO 0215006045,2500,BLOCK BLAKELEY AV,Eau Claire County Sheriff,9,12,6,59,PM,18,44.793304,-91.465744,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018787,1100,BLOCK BARRON ST,Eau Claire Police,9,12,6,1,PM,18,44.8277,-91.506105,
THEFT,RETAIL,Eau Claire PD 0115018770,3900,BLOCK GATEWAY DR,Eau Claire Police,9,12,3,58,PM,15,44.776027,-91.431761,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115018774,3000,BLOCK RUNWAY AV,Eau Claire Police,9,12,3,0,PM,15,44.870992,-91.468737,
FRAUD,ALL OTHER,Eau Claire PD 0115018768,2700,BLOCK 5TH ST,Eau Claire Police,9,12,2,48,PM,14,44.825774,-91.517372,
THEFT,RETAIL,Eau Claire PD 0115018754,4800,BLOCK GOLF RD,Eau Claire Police,9,12,12,4,PM,12,44.775081,-91.441228,mall
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115018746,500,BLOCK FULTON ST,Eau Claire Police,9,12,10,1,AM,10,44.810633,-91.509873,
DISTURBANCE,NEIGHBOR TROUBLE,Eau Claire PD 0115018729,1100,BLOCK W HAMILTON AV,Eau Claire Police,9,12,2,12,AM,2,44.785546,-91.516773,
DISTURBANCE,FIGHTING,Eau Claire PD 0115018723,400,BLOCK 6TH AV,Eau Claire Police,9,12,12,34,AM,0,44.804131,-91.511859,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115018724,700,BLOCK WATER ST,Eau Claire Police,9,12,12,28,AM,0,44.802173,-91.513845,water street
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115018722,800,BLOCK NIAGARA ST,Eau Claire Police,9,12,12,21,AM,0,44.8041,-91.515962,
ORD COMPLAINT,UNDERAGE DRINKING,Eau Claire PD 0115018720,200,BLOCK WASHINGTON ST,Eau Claire Police,9,11,11,48,PM,23,44.803759,-91.493785,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115018721,1600,BLOCK 11TH ST,Eau Claire Police,9,11,11,34,PM,23,44.815704,-91.524105,near cameron park playground
VEHICLE,STOLEN LOCALLY,Eau Claire PD 0115018795,300,BLOCK WATER ST,Eau Claire Police,9,11,11,30,PM,23,44.802158,-91.505687,water street
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115018718,400,BLOCK WASHINGTON ST,Eau Claire Police,9,11,10,13,PM,22,44.804664,-91.491953,
DISTURBANCE,FIGHTING,Eau Claire PD 0115018714,200,BLOCK W MADISON ST,Eau Claire Police,9,11,10,10,PM,22,44.815605,-91.510295,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018716,2000,BLOCK 3RD ST,Eau Claire Police,9,11,8,31,PM,20,44.819267,-91.513576,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115018707,3100,BLOCK ELDORADO BLVD,Eau Claire Police,9,11,8,17,PM,20,44.788061,-91.514953,
ANIMAL,BARKING DOG,Eau Claire PD 0115018703,3300,BLOCK 33RD ST,Eau Claire Police,9,11,7,21,PM,19,44.831582,-91.55458,
DISTURBANCE,NEIGHBOR TROUBLE,Eau Claire PD 0115018697,600,BLOCK BROADWAY ST,Eau Claire Police,9,11,6,34,PM,18,44.805069,-91.511856,
CRIMINAL DAMAGE,,Eau Claire CSO 0215006018,8700,BLOCK NINE MILE CREEK RD,Eau Claire County Sheriff,9,11,6,7,PM,18,44.801138,-91.360165,
CRIM DAMAGE,OTHER PROPERTY,Eau Claire PD 0115018980,4800,BLOCK GOLF RD,Eau Claire Police,9,11,5,30,PM,17,44.775097,-91.441238,mall
SEX OFFENSE,OTHER FELONY ASSAULT,Eau Claire PD 0115018755,700,BLOCK CARSON PARK DR,Eau Claire Police,9,11,3,0,PM,15,44.808041,-91.520413,carson park
THEFT,IDENTITY,Eau Claire CSO 0215006012,2500,BLOCK E HAMILTON AV,Eau Claire County Sheriff,9,11,2,11,PM,14,44.785597,-91.465656,
THEFT,RETAIL,Eau Claire CSO 0215006010,S5300 ,BLOCK HWY 27,Eau Claire County Sheriff,9,11,1,49,PM,13,,,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115018680,1400,BLOCK STATE ST,Eau Claire Police,9,11,1,41,PM,13,44.800907,-91.494821,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018368,800,BLOCK ZEPHYR HILL AV,Eau Claire Police,9,11,1,36,PM,13,44.823668,-91.473611,
FRAUD,CREDIT CARD,Eau Claire PD 0115018677,1200,BLOCK BARRON ST,Eau Claire Police,9,11,12,26,PM,12,44.829123,-91.505848,
DISTURBANCE,,Eau Claire PD 0115018675,3000,BLOCK RUNWAY AV,Eau Claire Police,9,11,12,14,PM,12,44.871015,-91.468737,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018935,3700,BLOCK GATEWAY DR,Eau Claire Police,9,11,12,0,PM,12,44.778243,-91.431611,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018668,900,BLOCK W CLAIREMONT AV,Eau Claire Police,9,11,11,3,AM,11,44.794492,-91.5109,sacred heart hospital
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115018671,900,BLOCK RICHARD DR,Eau Claire Police,9,11,9,30,AM,9,44.790581,-91.508432,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018657,700,BLOCK LAKE ST,Eau Claire Police,9,11,9,22,AM,9,44.806978,-91.512762,
VEHICLE,STOLEN LOCALLY,Eau Claire PD 0115018833,3100,BLOCK BLAKELEY AV,Eau Claire Police,9,11,9,0,AM,9,44.787426,-91.465743,
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115018642,2200,BLOCK HEIGHTS DR,Eau Claire Police,9,11,2,41,AM,2,44.795685,-91.515617,near clairemont nursing and rehab
DISTURBANCE,FIGHTING,Eau Claire PD 0115018641,1500,BLOCK EMERY ST,Eau Claire Police,9,11,2,15,AM,2,44.810902,-91.480348,
DISTURBANCE,NEIGHBOR TROUBLE,Eau Claire PD 0115018638,3700,BLOCK RUDOLPH RD,Eau Claire Police,9,11,1,52,AM,1,44.779968,-91.47828,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018708,100,BLOCK MARSTON AV,Eau Claire Police,9,11,1,30,AM,1,44.802876,-91.497036,
DISTURBANCE,,Eau Claire PD 0115018632,400,BLOCK VINE ST,Eau Claire Police,9,10,11,8,PM,23,44.819105,-91.514841,
VEHICLE,STOLEN LOCALLY,Eau Claire PD 0115018672,2400,BLOCK GOLF RD,Eau Claire Police,9,10,11,0,PM,23,44.771149,-91.465457,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018628,2000,BLOCK 3RD ST,Eau Claire Police,9,10,9,21,PM,21,44.819267,-91.513576,
ANIMAL,BARKING DOG,Eau Claire PD 0115018627,4500,BLOCK KAPPUS DR,Eau Claire Police,9,10,8,59,PM,20,44.771131,-91.46546,
SEX OFFENSE,LEWD & LASCIVIOUS,Eau Claire PD 0115018684,2900,BLOCK WINSOR DR,Eau Claire Police,9,10,5,0,PM,17,44.836309,-91.469603,
THEFT,OTHER,Eau Claire CSO 0215005981,S7600 ,BLOCK BALSAM RD,Eau Claire County Sheriff,9,10,4,30,PM,16,44.719785,-91.489297,
DISTURBANCE,,Eau Claire PD 0115018584,2500,BLOCK PAUL ST,Eau Claire Police,9,10,12,28,PM,12,44.773853,-91.463571,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018829,2800,BLOCK THOMAS DR,Eau Claire Police,9,10,10,53,AM,10,44.790097,-91.506264,
GRAFFITI,SCHOOL PROPERTY,Eau Claire PD 0115018597,2200,BLOCK KEITH ST,Eau Claire Police,9,10,8,0,AM,8,44.796473,-91.473376,near memorial hs
DISTURBANCE,,Eau Claire PD 0115018576,400,BLOCK HOBART ST,Eau Claire Police,9,10,7,13,AM,7,44.816265,-91.503149,
DISTURBANCE,,Eau Claire PD 0115018571,200,BLOCK PLATT ST,Eau Claire Police,9,10,2,30,AM,2,44.818282,-91.512204,
,,Eau Claire CSO 0215005964,3300,BLOCK LONDON RD,Eau Claire County Sheriff,9,10,1,13,AM,1,44.785112,-91.463791,
THEFT,OTHER,Eau Claire CSO 0215005963,2900,BLOCK BLAKELEY AV,Eau Claire County Sheriff,9,9,11,55,PM,23,44.789209,-91.465746,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115018563,800,BLOCK W CLAIREMONT AV,Eau Claire Police,9,9,11,40,PM,23,44.793005,-91.510336,
DRUG,MARIJUANA POSSESSION,Eau Claire PD 0115018562,4800,BLOCK SOUTHRIDGE CT,Eau Claire Police,9,9,11,1,PM,23,44.783814,-91.434848,
DISTURBANCE,,Eau Claire CSO 0215005956,8600,BLOCK BURNELL DR,Eau Claire County Sheriff,9,9,8,0,PM,20,44.844693,-91.355595,
DISTURBANCE,,Eau Claire PD 0115018545,3100,BLOCK HIDDEN PL,Eau Claire Police,9,9,5,35,PM,17,44.786851,-91.521434,
DISTURBANCE,,Eau Claire PD 0115018564,1600,BLOCK WESTERN AV,Eau Claire Police,9,9,5,0,PM,17,44.835208,-91.477606,
FRAUD,,Eau Claire CSO 0215005950,4800,BLOCK OLSON DR,Eau Claire County Sheriff,9,9,4,22,PM,16,44.836194,-91.430479,
THEFT,RETAIL,Eau Claire PD 0115018530,3600,BLOCK S HASTINGS WAY,Eau Claire Police,9,9,3,29,PM,15,44.781346,-91.440988,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018521,900,BLOCK RICHARD DR,Eau Claire Police,9,9,1,36,PM,13,44.790574,-91.508421,
